frame_index,rmse,mae,l2_loss
0,0.5300243325715783,0.36530337863498263,0.12323047744303339
1,0.5308793913194527,0.36552908155653213,0.12342347431846815
2,0.5284196642309527,0.3638019137912326,0.12284580448756324
3,0.525985402538454,0.3623150295681424,0.12227404058225147
4,0.5244044644980868,0.3615091111924913,0.1219006683732822
5,0.5250632273227978,0.3618962605794271,0.12204790344579644
6,0.528450745413385,0.36375223795572914,0.12282934254437655
7,0.5314255368311623,0.3653558095296224,0.1235147906356078
8,0.5305919286344147,0.36465814378526473,0.12331504918881404
9,0.5282580928396208,0.3632176293267144,0.12276668716722194
10,0.527530951533506,0.36277003818088105,0.1225917774341563
11,0.5301589633062608,0.364628897772895,0.12319658975121549
12,0.534588505042757,0.3675980461968316,0.12422003885367959
13,0.5319861802654098,0.3657228257921007,0.12360958460444059
14,0.5273564089915778,0.36308407253689234,0.12252821372931408
15,0.5275380822808574,0.3633396572536892,0.12256493952069844
16,0.5289613380461976,0.36390482584635414,0.1228902140425847
17,0.5291100178831484,0.36397840711805557,0.12291947373100133
18,0.5285769162410718,0.3637721591525608,0.12279043086341258
19,0.5279266125254715,0.3635663350423177,0.12263424230915967
20,0.5276709375937587,0.3639532725016276,0.1225697787048922
21,0.5282812204743,0.36541213989257815,0.12270650653043144
22,0.5292920702426448,0.36688656277126735,0.12293627247435016
23,0.5293800704655176,0.36673795912000867,0.1229516937862812
24,0.529561789870044,0.3652735392252604,0.12298885682157099
25,0.5324628759904271,0.3656919691297743,0.12365751959880279
26,0.5360445964094175,0.3672804938422309,0.12448415417181417
27,0.5387119597035275,0.3686536153157552,0.12509839024458358
28,0.5394757294850719,0.36913282606336806,0.125270510662709
29,0.537938753596023,0.3690680609809028,0.1249083994370321
30,0.5373942189772507,0.3695245530870226,0.12477676352479411
31,0.5375650883972183,0.36938523186577693,0.1248112635616103
32,0.5380008778744153,0.36929117838541664,0.12490730201530874
33,0.5388483724842427,0.36956685384114585,0.12509894896506393
34,0.539192279912844,0.3698497348361545,0.12517369567632441
